CARRIER,RAW_TAIL,TAIL_NUMBER
AA,N200A1,N200AA
AA,N201A1,N201AA
AA,N202A1,N202AA
AA,N203A1,N203AA
AA,N205A1,N205AA
AA,N208A1,N208AA
AA,N210A1,N210AA
AA,N214A1,N214AA
AA,N218A1,N218AA
AA,N219A1,N219AA
AA,N221A1,N221AA
AA,N223A1,N223AA
AA,N224A1,N224AA
AA,N225A1,N225AA
AA,N226A1,N226AA
AA,N227A1,N227AA
AA,N228A1,N228AA
AA,N232A1,N232AA
AA,N233A1,N233AA
AA,N236A1,N236AA
AA,N237A1,N237AA
AA,N241A1,N241AA
AA,N242A1,N242AA
AA,N244A1,N244AA
AA,N245A1,N245AA
AA,N246A1,N246AA
AA,N248A1,N248AA
AA,N249A1,N249AA
AA,N251A1,N251AA
AA,N253A1,N253AA
AA,N255A1,N255AA
AA,N258A1,N258AA
AA,N259A1,N259AA
AA,N262A1,N262AA
AA,N266A1,N266AA
AA,N269A1,N269AA
AA,N271A1,N271AA
AA,N274A1,N274AA
AA,N276A1,N276AA
AA,N278A1,N278AA
AA,N283A1,N283AA
AA,N285A1,N285AA
AA,N286A1,N286AA
AA,N287A1,N287AA
AA,N288A1,N288AA
AA,N289A1,N289AA
AA,N290A1,N290AA
AA,N291A1,N291AA
AA,N292A1,N292AA
AA,N293A1,N293AA
AA,N294A1,N294AA
AA,N295A1,N295AA
AA,N296A1,N296AA
AA,N297A1,N297AA
AA,N298A1,N298AA
AA,N302A1,N302AA
AA,N303A1,N303AA
AA,N304A1,N304AA
AA,N305A1,N305AA
AA,N306A1,N306AA
AA,N307A1,N307AA
AA,N308A1,N308AA
AA,N312A1,N312AA
AA,N313A1,N313AA
AA,N315A1,N315AA
AA,N316A1,N316AA
AA,N317A1,N317AA
AA,N319A1,N319AA
AA,N320A1,N320AA
AA,N321A1,N321AA
AA,N323A1,N323AA
AA,N324A1,N324AA
AA,N325A1,N325AA
AA,N327A1,N327AA
AA,N328A1,N328AA
AA,N329A1,N329AA
AA,N330A1,N330AA
AA,N334A1,N334AA
AA,N335A1,N335AA
AA,N336A1,N336AA
AA,N338A1,N338AA
AA,N339A1,N339AA
AA,N353A1,N353AA
AA,N354A1,N354AA
AA,N355A1,N355AA
AA,N356A1,N356AA
AA,N358A1,N358AA
AA,N359A1,N359AA
AA,N360A1,N360AA
AA,N361A1,N361AA
AA,N362A1,N362AA
AA,N363A1,N363AA
AA,N364A1,N364AA
AA,N366A1,N366AA
AA,N367A1,N367AA
AA,N375A1,N375AA
AA,N376A1,N376AA
AA,N377A1,N377AA
AA,N378A1,N378AA
AA,N380A1,N380AA
AA,N381A1,N381AA
AA,N383A1,N383AA
AA,N385A1,N385AA
AA,N388A1,N388AA
AA,N389A1,N389AA
AA,N390A1,N390AA
AA,N397A1,N397AA
AA,N399A1,N399AA
AA,N400A1,N400AA
AA,N401A1,N401AA
AA,N402A1,N402AA
AA,N404A1,N404AA
AA,N405A1,N405AA
AA,N406A1,N406AA
AA,N407A1,N407AA
AA,N408A1,N408AA
AA,N409A1,N409AA
AA,N410A1,N410AA
AA,N411A1,N411AA
AA,N412A1,N412AA
AA,N413A1,N413AA
AA,N414A1,N414AA
AA,N415A1,N415AA
AA,N416A1,N416AA
AA,N417A1,N417AA
AA,N418A1,N418AA
AA,N419A1,N419AA
AA,N420A1,N420AA
AA,N421A1,N421AA
AA,N423A1,N423AA
AA,N424A1,N424AA
AA,N425A1,N425AA
AA,N426A1,N426AA
AA,N427A1,N427AA
AA,N428A1,N428AA
AA,N429A1,N429AA
AA,N430A1,N430AA
AA,N431A1,N431AA
AA,N432A1,N432AA
AA,N433A1,N433AA
AA,N434A1,N434AA
AA,N435A1,N435AA
AA,N436A1,N436AA
AA,N438A1,N438AA
AA,N439A1,N439AA
AA,N440A1,N440AA
AA,N441A1,N441AA
