TAIL_NUMBER,MANUFACTURER,MODEL
N1,Gulfstream Aerospace,G-IV
N1AP,Cessna,750
N1BM,Cessna,425
N1BN,Gulfstream Aerospace,G-IV
N1BS,Beech,300
N1C,Dassault Aviation,FALCON 2000
N1CA,Bombardier Inc,CL-600-2B16
N1CC,Gulfstream Aerospace,G1159B
N1CF,Rockwell International Corp,NA-265-65
N1CH,Cessna,560
N1CR,Raytheon Aircraft Company,B300
N1DB,Lockheed,1329-23E
N1DE,Learjet Inc,31
N1DG,Bombardier Inc,CL-600-2B16
N1ED,Learjet Inc,31A
N1ER,Rockwell International,690B
N1GM,Rockwell International Corp,NA-265-60
N1GN,Gulfstream Aerospace,G-V
N1GT,Gulfstream Aerospace,G-IV
N1HF,Dassault-Breguet,FALCON 20
N1HP,Learjet Inc,45
N1HS,Beech,400A
N1HX,Beech,200
N1JG,Rockwell International,690B
N1JK,Gulfstream American Corp.,G-1159A
N1JN,Gulfstream American Corp.,G-1159A
N1JP,Beech,200
N1JS,Israel Aircraft Industries,1124
N1KA,Beech,B200
N1KE,Gulfstream Aerospace,G-V
N1KG,Aero Commander,690A
N1KT,Israel Aircraft Industries,1124
N1LH,Beech,H-18
N1LY,Piaggio,P180
N1M,Gulfstream American Corp.,G-1159A
N1MA,Beech,F90
N1MC,Israel Aircraft Industries,ASTRA SPX
N1MG,Learjet Inc,45
N1MJ,Lockheed,1329-25 JETSTAR II
N1MN,Swearingen,SA227-TT
N1MU,Mitsubishi,MU-2B-35
N1MW,Beech,300
N1NA,Gulfstream American Corp.,G-1159A
N1NF,Lockheed,18
N1PB,Cessna,560
N1PC,Boeing,737-2P6
N1PG,Gulfstream Aerospace,G-IV
N1PN,Beech,B100
N1PR,Gulfstream American Corp.,G-1159A
N1QF,Canadair Ltd,CL-600-2B16
N1QH,Hawker Siddeley,BH.125-400A
N1RB,Learjet Inc,60
N1S,Dassault-Breguet,FALCON 50
N1SF,Gulfstream Aerospace,G-V
N1SL,Gulfstream Aerospace,G-IV
N1SN,Gulfstream Aerospace,G-IV
N1SP,Beech,A200
N1TF,Gulfstream Aerospace,G-IV
N1TK,Bombardier Inc,BD-700-1A10
N1TM,Bombardier Inc,BD-700-1A10
N1TR,Beech,A100
N1TS,Bombardier Inc,BD-700-1A10
N1TX,Beech,200
N1U,Gates Lear Jet,36A
N1UC,Beech,E-90
N1UP,Cessna,650
N1VQ,British Aerospace A/C Group,HS.125-700A
N1VY,Mitsubishi,MU-2B-35
N1WP,Gulfstream Aerospace,G-IV
N1WS,Israel Aircraft Industries,1124
N1WV,Raytheon Aircraft Company,B300
N1XP,Douglas,DC3C-S1C3G
N1XV,Lockheed,18-56
N1YS,Beech,200
N1ZC,Cessna,650
N10AC,Beech,B200
N10AG,Beech,B100
N10AH,Gates Learjet Corp.,35A
N10AU,Cessna,560
N10AZ,Dassault-Breguet,FALCON 20
N10BB,Dehavilland,DH104 DOVE 6BA
N10BD,Gates Lear Jet,35
N10BY,Beech,200
N10C,British Aerospace A/C Group,HS.125-700A
N10CN,British Aerospace A/C Group,HS.125-700A
N10CR,Gates Learjet Corp,55C
N10D,Hawker Siddeley,DH.125-1A
N10DM,Beech,200
N10EA,Dehavilland,DHC-6-200
N10EC,Beech,B200
N10EH,Gulfstream Aerospace,G-1159A
N10FB,Cessna,425
N10FE,Canadair Ltd,CL-600-2B16
N10FL,Raytheon Aircraft Company,400A
N10FN,Gates Lear Jet Corp.,36
N10HT,Mitsubishi,MU-2B-60
N10J,Learjet Inc,45
N10JP,Cessna,650
N10K,Beech,B300
N10LN,Hawker Siddeley,DH.125-3A/RA
N10M,North American,NA-265-70
N10MB,Mcdonnell Douglas,DC-10-30F
N10MV,Israel Aircraft Industries,1124
N10MZ,Dassault-Breguet,MYSTERE FALCON 900
N10NL,Learjet Inc,45
N10P,Lockheed,18
N10PK,Beech,E18S
N10PN,Canadair Ltd,CL-600 CHALLENGER
N10PP,Dassault-Breguet,FALCON 50
N10PV,Lockheed,PV-2
N10QP,Cessna,402B
N10R,Learjet Inc,45
N10RA,Beech,1900C
N10RQ,Gulfstream American Corp.,G-1159
N10RZ,Dassault/Sud,FAN JET FALCON
N10SA,Beech,E-90
N10SE,Learjet Inc,31A
N10SN,Cessna,560
N10TB,Grumman,G-159
N10TD,Cessna,560
N10TN,British Aerospace A/C Group,HS.125-700A
N10TQ,Beech,2000
N10TX,Beech,B300
N10UC,Hawker Siddeley,HS.125 SERIES 700A
N10UJ,Israel Aircraft Industries,1124
N10UN,Raytheon Aircraft Company,B300
N10UP,British Aerospace,BAE JETSTREAM 3101
N10VG,Gates Lear Jet,25B
N10VU,Mitsubishi,MU-2B-40
N10WG,Beech,E-90
N10XJ,Beech,E-90
N10YJ,British Aerospace,BAE 125 SERIES 800A
N100A,Gulfstream Aerospace,G-IV
N100AC,Dassault/Sud,FAN JET FALCON
N100AG,Corporate Jets Limited,BAE 125-800A
N100AK,Israel Aircraft Industries,ASTRA SPX
N100AM,Rockwell International,690B
N100AP,Dehavilland,DHC-6 TWIN OTTER
N100AQ,Beech,300
N100AS,Dassault/Sud,FAN JET FALCON
N100AT,Gates Learjet Corp.,35A
N100AW,Raytheon Aircraft Company,400A
N100BC,Israel Aircraft Industries,1124
N100BE,Beech,300
N100BF,Douglas,C-117D
N100BP,Rockwell International,NA-265-80
N100BY,Mitsubishi,MU-2B-60
N100CC,Cessna,425
N100CH,Israel Aircraft Industries,1124
N100CS,Piper,PA-42-720
N100DK,Lockheed,18
N100DV,Dassault-Breguet,FALCON 50
N100DW,Douglas,DC3C
N100EC,Beech,E-90
N100EJ,North American,NA-265-80
N100ES,Gulfstream Aerospace,G-IV
N100FF,Cessna,750
N100FL,Beech,300
N100GA,Israel Aircraft Industries,ASTRA SPX
N100GL,Aero Commander,681
N100GN,Gulfstream Aerospace,G-IV
N100GV,Gulfstream Aerospace,G-V
N100GX,Gulfstream Aerospace,G-IV
N100HF,Gulfstream Aerospace,G-IV
N100HG,Gulfstream American Corp.,G-1159A
N100HW,Gates Learjet Corp.,35A
N100KA,Beech,100
