station_id,name,lat,lon,elevation_m,country,tz,isd_id,wfo,nws_zone
CWQB,QUEBEC/JEAN LESAGE INTL  QUE,46.783,-71.383,74.0,CA,America/Toronto,717140-99999,,
CYEG,EDMONTON INTL,53.31,-113.58,723.3,CA,America/Edmonton,711230-99999,,
CYHZ,HALIFAX INTL / STANFIELD INTL,44.881,-63.509,145.4,CA,America/Halifax,713950-99999,,
CYOW,OTTAWA MACDONALD CARTIER INTL,45.323,-75.669,114.0,CA,America/Toronto,716280-99999,,
CYQR,REGINA INTL,50.433,-104.667,577.3,CA,America/Regina,718630-99999,,
CYQT,THUNDER BAY A,48.367,-89.333,199.0,CA,America/Toronto,717490-99999,,
CYSJ,SAINT JOHN,45.317,-65.883,108.8,CA,America/Moncton,716090-99999,,
CYUL,MONTREAL/TRUDEAU INT,45.467,-73.733,36.0,CA,America/Toronto,716270-99999,,
CYVR,VANCOUVER INTL,49.194,-123.184,4.3,CA,America/Vancouver,718920-99999,,
CYWG,WINNIPEG INTL / JAMES ARMSTRONG RICHARDSON INTL,49.91,-97.24,238.7,CA,America/Winnipeg,718520-99999,,
CYXE,SASKATOON JOHN G DIEFENBAKER INTL,52.167,-106.7,503.8,CA,America/Regina,718660-99999,,
CYXY,WHITEHORSE INTL / ERIK NIELSEN INTL,60.714,-135.076,707.0,CA,America/Whitehorse,719640-99999,,
CYYC,CALGARY INTL,51.114,-114.02,1084.2,CA,America/Edmonton,718770-99999,,
CYYJ,VICTORIA INTL,48.647,-123.426,19.2,CA,America/Vancouver,717990-99999,,
CYYT,ST JOHNS INTL,47.619,-52.752,140.5,CA,America/St_Johns,718010-99999,,
CYYZ,LESTER B PEARSON INTL,43.677,-79.631,173.4,CA,America/Toronto,716240-99999,,
CYZF,YELLOWKNIFE,62.463,-114.44,205.7,CA,America/Edmonton,719360-99999,,
KABE,LEHIGH VALLEY INTERNATIONAL AIRPORT,40.65,-75.448,117.4,US,America/New_York,725170-14737,PHI,PAZ061
KABQ,ALBUQUERQUE INTL SUNPORT AIRPORT,35.042,-106.615,1618.4,US,America/Denver,723650-23050,ABQ,NMZ003
KALB,ALBANY INTERNATIONAL AIRPORT,42.747,-73.799,85.4,US,America/New_York,725180-14735,ALY,NYZ052
KAMA,AMARILLO RICK HUSBAND INTL AIRPORT,35.22,-101.717,1099.3,US,America/Chicago,723630-23047,AMA,TXZ012
KATL,HARTSFIELD-JACKSON ATLANTA INTL AP,33.63,-84.442,308.3,US,America/New_York,722190-13874,FFC,GAZ055
KAUS,AUSTIN-BERGSTROM INTL AIRPORT,30.183,-97.68,146.3,US,America/Chicago,722540-13904,EWX,TXZ192
KAVP,WILKES-BARRE/SCRANTON INTL AIRPORT,41.333,-75.723,289.9,US,America/New_York,725130-14777,BGM,PAZ047
KBDL,BRADLEY INTERNATIONAL AIRPORT,41.937,-72.682,51.6,US,America/New_York,725080-14740,BOX,CTZ002
KBFL,MEADOWS FIELD AIRPORT,35.434,-119.055,149.3,US,America/Los_Angeles,723840-23155,HNX,CAZ092
KBGR,BANGOR INTL,44.8,-68.817,60.0,US,America/New_York,726088-14606,CAR,MEZ015
KBHM,BIRMINGHAM INTERNATIONAL AIRPORT,33.565,-86.745,187.7,US,America/Chicago,722280-13876,BMX,ALZ024
KBIL,BILLINGS LOGAN INTERNATIONAL AIRPORT,45.807,-108.546,1094.3,US,America/Denver,726770-24033,BYZ,MTZ030
KBIS,BISMARCK MUNICIPAL AIRPORT,46.782,-100.758,503.2,US,America/Chicago,727640-24011,BIS,NDZ035
KBNA,NASHVILLE INTERNATIONAL AIRPORT,36.111,-86.688,179.0,US,America/Chicago,723270-13897,OHX,TNZ027
KBOI,BOISE AIR TERMINAL/GOWEN FD AIRPORT,43.567,-116.241,860.5,US,America/Boise,726810-24131,BOI,IDZ014
KBOS,GEN E L LOGAN INTERNATIONAL AIRPORT,42.361,-71.01,3.3,US,America/New_York,725090-14739,BOX,MAZ015
KBRO,BROWNSVILLE/S PADRE ISLAND INTL AP,25.915,-97.423,5.7,US,America/Chicago,722500-12919,BRO,TXZ255
KBTV,BURLINGTON INTERNATIONAL AIRPORT,44.468,-73.15,101.1,US,America/New_York,726170-14742,BTV,VTZ005
KBUF,BUFFALO NIAGARA INTERNATIONAL AIRPOR,42.94,-78.736,216.2,US,America/New_York,725280-14733,BUF,NYZ010
KBWI,BALTIMORE-WASHINGTON INTL AIRPORT,39.173,-76.684,42.0,US,America/New_York,724060-93721,LWX,MDZ014
KBZN,GALLATIN FIELD AIRPORT,45.788,-111.162,1350.7,US,America/Denver,726797-24132,TFX,MTZ008
KCAE,COLUMBIA METROPOLITAN AIRPORT,33.942,-81.118,68.3,US,America/New_York,723100-13883,CAE,SCZ027
KCHA,LOVELL FIELD AIRPORT,35.034,-85.2,204.0,US,America/New_York,723240-13882,MRX,TNZ099
KCHS,CHARLESTON AFB/INTERNATIONAL AIRPORT,32.899,-80.041,11.8,US,America/New_York,722080-13880,CHS,SCZ047
KCID,EASTERN IOWA REGIONAL AIRPORT,41.883,-91.725,256.0,US,America/Chicago,725450-14990,DVN,IAZ052
KCLE,CLEVELAND-HOPKINS INTERNATIONAL AP,41.406,-81.852,236.8,US,America/New_York,725240-14820,CLE,OHZ011
KCLT,CHARLOTTE/DOUGLAS INTERNATIONAL AP,35.223,-80.954,222.6,US,America/New_York,723140-13881,GSP,NCZ071
KCMH,PORT COLUMBUS INTERNATIONAL AIRPORT,39.991,-82.877,246.8,US,America/New_York,724280-14821,ILN,OHZ055
KCOS,CITY OF COLORADO SPRINGS MUNICIPAL AP,38.809,-104.689,1884.2,US,America/Denver,724660-93037,PUB,COZ071
KCOU,COLUMBIA REGIONAL AIRPORT,38.817,-92.215,272.2,US,America/Chicago,724450-03945,LSX,MOZ041
KCPR,NATRONA COUNTY INTERNATIONAL AP,42.898,-106.474,1621.1,US,America/Denver,725690-24089,RIW,WYZ020
KCRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,27.773,-97.513,12.5,US,America/Chicago,722510-12924,CRP,TXZ243
KCRW,YEAGER AIRPORT,38.38,-81.591,278.1,US,America/New_York,724140-13866,RLX,WVZ015
KCVG,CINCINNATI/NORTHERN KENTUCKY INTL AP,39.044,-84.672,262.4,US,America/New_York,724210-93814,ILN,KYZ091
KCXY,CAPITAL CITY AIRPORT,40.218,-76.855,102.2,US,America/New_York,725118-99999,CTP,PAZ065
KCYS,CHEYENNE AIRPORT,41.158,-104.808,1864.9,US,America/Denver,725640-24018,CYS,WYZ069
KDAL,DALLAS LOVE FIELD AIRPORT,32.838,-96.836,147.6,US,America/Chicago,722583-13960,FWD,TXZ119
KDAY,J.M.COX DAYTON INTERNATIONAL AIRPORT,39.906,-84.219,302.6,US,America/New_York,724290-93815,ILN,OHZ061
KDCA,RONALD REAGAN WASHINGTON NATL AP,38.847,-77.035,4.1,US,America/New_York,724050-13743,LWX,VAZ054
KDEN,DENVER INTERNATIONAL AIRPORT,39.847,-104.656,1647.2,US,America/Denver,725650-03017,BOU,COZ040
KDFW,DALLAS/FT WORTH INTERNATIONAL AP,32.897,-97.022,165.7,US,America/Chicago,722590-03927,FWD,TXZ119
KDLH,DULUTH INTERNATIONAL AIRPORT,46.844,-92.187,433.4,US,America/Chicago,727450-14913,DLH,MNZ037
KDSM,DES MOINES INTERNATIONAL AIRPORT,41.534,-93.653,286.3,US,America/Chicago,725460-14933,DMX,IAZ060
KDTW,DETROIT METRO WAYNE COUNTY AIRPORT,42.231,-83.331,191.9,US,America/Detroit,725370-94847,DTX,MIZ076
KELP,EL PASO INTERNATIONAL AIRPORT,31.812,-106.377,1202.1,US,America/Denver,722700-23044,EPZ,TXZ055
KELY,ELY AIRPORT/YELLAND FIELD/AIRPORT,39.295,-114.847,1904.9,US,America/Los_Angeles,724860-23154,LKN,NVZ035
KEUG,MAHLON SWEET FIELD AIRPORT,44.133,-123.216,109.0,US,America/Los_Angeles,726930-24221,PQR,ORZ010
KEWR,NEWARK LIBERTY INTERNATIONAL AP,40.683,-74.169,2.0,US,America/New_York,725020-14734,OKX,NJZ005
KEYW,KEY WEST INTERNATIONAL AIRPORT,24.557,-81.755,0.3,US,America/New_York,722010-12836,KEY,FLZ078
KFAR,HECTOR INTERNATIONAL AIRPORT,46.924,-96.812,272.8,US,America/Chicago,727530-14914,FGF,NDZ039
KFAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,36.78,-119.72,101.9,US,America/Los_Angeles,723890-93193,HNX,CAZ093
KFLG,FLAGSTAFF AIRPORT,35.133,-111.667,2135.0,US,America/Phoenix,723750-99999,FGZ,AZZ015
KFMY,PAGE FIELD AIRPORT,26.585,-81.861,3.8,US,America/New_York,722106-12835,TBW,FLZ065
KFSD,JOE FOSS FIELD AIRPORT,43.578,-96.754,432.4,US,America/Chicago,726510-14944,FSD,SDZ062
KFSM,FORT SMITH REGIONAL AIRPORT,35.333,-94.365,136.7,US,America/Chicago,723440-13964,TSA,OKZ072
KFWA,FORT WAYNE INTERNATIONAL AIRPORT,40.972,-85.206,243.0,US,America/Indiana/Indianapolis,725330-14827,IWX,INZ018
KGEG,SPOKANE INTERNATIONAL AIRPORT,47.622,-117.528,717.7,US,America/Los_Angeles,727850-24157,OTX,WAZ036
KGJT,GRAND JUNCTION REGIONAL AIRPORT,39.134,-108.541,1470.4,US,America/Denver,724760-23066,GJT,COZ006
KGRB,AUSTIN STRAUBEL INTERNATIONAL AP,44.48,-88.137,208.6,US,America/Chicago,726450-14898,GRB,WIZ039
KGRR,GERALD R FORD INTERNATIONAL AIRPORT,42.882,-85.523,240.3,US,America/Detroit,726350-94860,GRR,MIZ057
KGSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,36.097,-79.943,275.0,US,America/New_York,723170-13723,RAH,NCZ022
KGTF,GREAT FALLS INTERNATIONAL AIRPORT,47.473,-111.383,1117.7,US,America/Denver,727750-24143,TFX,MTZ012
KHLN,HELENA REGIONAL AIRPORT,46.604,-111.989,1178.1,US,America/Denver,727720-24144,TFX,MTZ014
KHSV,HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,34.644,-86.786,190.0,US,America/Chicago,723230-03856,HUN,
KIAD,WASHINGTON DULLES INTERNATIONAL AP,38.935,-77.447,89.5,US,America/New_York,724030-93738,LWX,VAZ053
KIAH,G BUSH INTERCONTINENTAL AP/HOUSTON AP,29.984,-95.361,27.5,US,America/Chicago,722430-12960,HGX,TXZ213
KICT,WICHITA EISENHOWER NATIONAL,37.648,-97.43,401.7,US,America/Chicago,724500-03928,ICT,KSZ083
KIDA,IDAHO FALLS REGIONAL ARPT,43.52,-112.068,1442.7,US,America/Boise,725785-24145,PIH,IDZ020
KIND,INDIANAPOLIS INTERNATIONAL AIRPORT,39.725,-86.282,241.3,US,America/Indiana/Indianapolis,724380-93819,IND,INZ047
KJAN,JACKSON INTERNATIONAL AIRPORT,32.32,-90.078,90.2,US,America/Chicago,722350-03940,JAN,MSZ049
KJAX,JACKSONVILLE INTERNATIONAL AIRPORT,30.495,-81.694,7.2,US,America/New_York,722060-13889,JAX,FLZ024
KJFK,JOHN F KENNEDY INTERNATIONAL AIRPORT,40.639,-73.764,2.7,US,America/New_York,744860-94789,OKX,NYZ076
KLAN,CAPITAL CITY AIRPORT,42.776,-84.6,261.2,US,America/Detroit,725390-14836,GRR,MIZ059
KLAS,MCCARRAN INTERNATIONAL AIRPORT,36.072,-115.163,662.8,US,America/Los_Angeles,723860-23169,VEF,NVZ020
KLAX,LOS ANGELES INTERNATIONAL AIRPORT,33.938,-118.387,29.7,US,America/Los_Angeles,722950-23174,LOX,CAZ041
KLBB,LUBBOCK INTERNATIONAL AIRPORT,33.666,-101.823,993.2,US,America/Chicago,722670-23042,LUB,TXZ035
KLCH,LAKE CHARLES REGIONAL AIRPORT,30.126,-93.228,2.0,US,America/Chicago,722400-03937,LCH,LAZ041
KLEX,BLUE GRASS AIRPORT,38.034,-84.611,293.2,US,America/New_York,724220-93820,LMK,KYZ041
KLGA,LA GUARDIA AIRPORT,40.779,-73.88,3.0,US,America/New_York,725030-14732,OKX,NYZ076
KLIT,ADAMS FIELD AIRPORT,34.727,-92.236,76.4,US,America/Chicago,723403-13963,LZK,ARZ044
KLNK,LINCOLN MUNICIPAL AIRPORT,40.848,-96.765,356.7,US,America/Chicago,725510-14939,OAX,NEZ066
KMAF,MIDLAND INTERNATIONAL AIRPORT,31.948,-102.209,872.4,US,America/Chicago,722650-23023,MAF,TXZ062
KMCI,KANSAS CITY INTERNATIONAL AIRPORT,39.297,-94.731,307.4,US,America/Chicago,724460-03947,EAX,MOZ028
KMCO,ORLANDO INTERNATIONAL AIRPORT,28.418,-81.324,27.1,US,America/New_York,722050-12815,MLB,FLZ045
KMDW,CHICAGO MIDWAY INTL ARPT,41.784,-87.755,185.8,US,America/Chicago,725340-14819,LOT,ILZ005
